┌────────────────────┬──────────────────────────────┬──────────────────┐
│ billing_manager    │ billing                      │ read             │
│ billing_manager    │ billing                      │ update           │
│ billing_manager    │ companies                    │ read             │
│ billing_manager    │ dashboard                    │ read             │
│ billing_manager    │ files                        │ read             │
│ billing_manager    │ finance                      │ approve          │
│ billing_manager    │ finance                      │ create           │
│ billing_manager    │ finance                      │ export           │
│ billing_manager    │ finance                      │ read             │
│ billing_manager    │ finance                      │ update           │
│ billing_manager    │ finance.accounts_payable     │ create           │
│ billing_manager    │ finance.accounts_payable     │ read             │
│ billing_manager    │ finance.accounts_payable     │ update           │
│ billing_manager    │ finance.billing              │ cancel           │
│ billing_manager    │ finance.billing              │ create           │
│ billing_manager    │ finance.billing              │ read             │
│ billing_manager    │ finance.billing              │ update           │
│ billing_manager    │ finance.dashboard            │ read             │
│ billing_manager    │ fiscal.dashboard             │ read             │
│ billing_manager    │ fiscal.invoices              │ issue            │
│ billing_manager    │ fiscal.invoices              │ read             │
│ billing_manager    │ people                       │ read             │
│ billing_manager    │ reports                      │ export           │
│ billing_manager    │ reports                      │ generate         │
│ billing_manager    │ reports                      │ read             │
│ commercial         │ companies                    │ create           │
│ commercial         │ companies                    │ read             │
│ commercial         │ companies                    │ update           │
│ commercial         │ contracts                    │ create           │
│ commercial         │ contracts                    │ read             │
│ commercial         │ contracts                    │ renew            │
│ commercial         │ contracts                    │ update           │
│ commercial         │ dashboard                    │ read             │
│ commercial         │ documents                    │ create           │
│ commercial         │ documents                    │ read             │
│ commercial         │ files                        │ read             │
│ commercial         │ people                       │ read             │
│ commercial         │ purchase_orders              │ create           │
│ commercial         │ purchase_orders              │ read             │
│ commercial         │ purchase_receipts            │ create           │
│ commercial         │ purchase_receipts            │ read             │
│ commercial         │ reports                      │ read             │
│ commercial         │ service_orders               │ create           │
│ commercial         │ service_orders               │ read             │
│ commercial         │ service_orders               │ update           │
│ commercial         │ support_tickets              │ create           │
│ commercial         │ support_tickets              │ read             │
│ commercial         │ tasks                        │ create           │
│ commercial         │ tasks                        │ read             │
│ facilities_manager │ dashboard                    │ read             │
│ facilities_manager │ documents                    │ create           │
│ facilities_manager │ documents                    │ read             │
│ facilities_manager │ files                        │ read             │
│ facilities_manager │ service_orders               │ complete         │
│ facilities_manager │ service_orders               │ create           │
│ facilities_manager │ service_orders               │ read             │
│ facilities_manager │ service_orders               │ update           │
│ facilities_manager │ tasks                        │ assign           │
│ facilities_manager │ tasks                        │ create           │
│ facilities_manager │ tasks                        │ read             │
│ facilities_manager │ tasks                        │ update           │
│ finance            │ billing                      │ create           │
│ finance            │ billing                      │ read             │
│ finance            │ billing                      │ update           │
│ finance            │ companies                    │ read             │
│ finance            │ contracts                    │ read             │
│ finance            │ dashboard                    │ read             │
│ finance            │ documents                    │ create           │
│ finance            │ documents                    │ read             │
│ finance            │ files                        │ read             │
│ finance            │ finance                      │ create           │
│ finance            │ finance                      │ export           │
│ finance            │ finance                      │ read             │
│ finance            │ finance                      │ update           │
│ finance            │ finance.accounts_payable     │ create           │
│ finance            │ finance.accounts_payable     │ read             │
│ finance            │ finance.accounts_payable     │ update           │
│ finance            │ finance.accounts_receivable  │ create           │
│ finance            │ finance.accounts_receivable  │ read             │
│ finance            │ finance.accounts_receivable  │ update           │
│ finance            │ finance.billing              │ create           │
│ finance            │ finance.billing              │ read             │
│ finance            │ finance.billing              │ update           │
│ finance            │ finance.dashboard            │ read             │
│ finance            │ fiscal.dashboard             │ read             │
│ finance            │ fiscal.invoices              │ read             │
│ finance            │ people                       │ read             │
│ finance            │ products                     │ read             │
│ finance            │ purchase_orders              │ create           │
│ finance            │ purchase_orders              │ read             │
│ finance            │ purchase_receipts            │ create           │
│ finance            │ purchase_receipts            │ read             │
│ finance            │ reports                      │ read             │
│ finance            │ service_orders               │ create           │
│ finance            │ service_orders               │ read             │
│ finance            │ stock_movements              │ create           │
│ finance            │ stock_movements              │ read             │
│ finance            │ support_tickets              │ create           │
│ finance            │ support_tickets              │ read             │
│ finance            │ tasks                        │ create           │
│ finance            │ tasks                        │ read             │
│ finance_manager    │ accounting.dashboard         │ read             │
│ finance_manager    │ billing                      │ cancel           │
│ finance_manager    │ billing                      │ create           │
│ finance_manager    │ billing                      │ export           │
│ finance_manager    │ billing                      │ read             │
│ finance_manager    │ billing                      │ update           │
│ finance_manager    │ companies                    │ read             │
│ finance_manager    │ dashboard                    │ read             │
│ finance_manager    │ files                        │ read             │
│ finance_manager    │ finance                      │ approve          │
│ finance_manager    │ finance                      │ create           │
│ finance_manager    │ finance                      │ delete           │
│ finance_manager    │ finance                      │ export           │
│ finance_manager    │ finance                      │ forecast         │
│ finance_manager    │ finance                      │ read             │
│ finance_manager    │ finance                      │ reconcile        │
│ finance_manager    │ finance                      │ update           │
│ finance_manager    │ finance.accounts_payable     │ create           │
│ finance_manager    │ finance.accounts_payable     │ delete           │
│ finance_manager    │ finance.accounts_payable     │ read             │
│ finance_manager    │ finance.accounts_payable     │ update           │
│ finance_manager    │ finance.accounts_receivable  │ create           │
│ finance_manager    │ finance.accounts_receivable  │ delete           │
│ finance_manager    │ finance.accounts_receivable  │ read             │
│ finance_manager    │ finance.accounts_receivable  │ update           │
│ finance_manager    │ finance.billing              │ cancel           │
│ finance_manager    │ finance.billing              │ create           │
│ finance_manager    │ finance.billing              │ read             │
│ finance_manager    │ finance.billing              │ update           │
│ finance_manager    │ finance.cashflow             │ read             │
│ finance_manager    │ finance.dashboard            │ read             │
│ finance_manager    │ finance.reports              │ export           │
│ finance_manager    │ finance.reports              │ read             │
│ finance_manager    │ finance.suppliers            │ read             │
│ finance_manager    │ fiscal.dashboard             │ read             │
│ finance_manager    │ fiscal.invoices              │ issue            │
│ finance_manager    │ fiscal.invoices              │ read             │
│ finance_manager    │ people                       │ read             │
│ finance_manager    │ reports                      │ export           │
│ finance_manager    │ reports                      │ generate         │
│ finance_manager    │ reports                      │ read             │
│ fiscal_manager     │ accounting.dashboard         │ read             │
│ fiscal_manager     │ companies                    │ read             │
│ fiscal_manager     │ dashboard                    │ read             │
│ fiscal_manager     │ files                        │ read             │
│ fiscal_manager     │ finance                      │ read             │
│ fiscal_manager     │ finance.dashboard            │ read             │
│ fiscal_manager     │ fiscal.dashboard             │ read             │
│ fiscal_manager     │ fiscal.invoices              │ cancel           │
│ fiscal_manager     │ fiscal.invoices              │ issue            │
│ fiscal_manager     │ fiscal.invoices              │ read             │
│ fiscal_manager     │ fiscal.invoices              │ void             │
│ fiscal_manager     │ fiscal.reports               │ export           │
